airport_id,name,city,country,iata,latitude,longitude
8401,Lombok International Airport,Praya,Indonesia,LOP,-8.757322,116.276675
8431,Cesar Lim Rodriguez Airport,Taytay,Philippines,RZP,10.81874,119.507697
8684,Saravane Airport,Saravane,Laos,VNA,15.7094392077,106.410698891
8752,Nusawiru Airport,Nusawiru,Indonesia,CJN,-7.719895,108.488995
8807,Tabing Airport,Padang,Indonesia,\N,-0.874989,100.351997
8966,Kratie Airport,Kratie,Cambodia,KTI,12.48799991607666,106.05500030517578
9103,Maranggo Airport,Sulawesi Tenggara,Indonesia,TQQ,-5.7645702362061,123.91699981689
9233,Tak Airport,Tak,Thailand,TKT,16.895999908447266,99.25330352783205
9397,Waris Airport,Waris-Papua Island,Indonesia,WAR,-3.235,140.994
9528,Fazenda Campo Verde Airport,Sihanoukville,Cambodia,\N,1.04278004169,-50.5167007446
9866,Beringin Airport,Muara Teweh,Indonesia,\N,-0.940325021744,114.893875122
9868,Mulia Airport,Mulia,Indonesia,LII,-3.7018,137.957
9872,Stenkol Airport,Bintuni,Indonesia,NTI,-2.1033,133.5164
9873,Wasior Airport,Wasior,Indonesia,WSR,-2.721,134.5061
9874,Silangit Airport,Siborong-Borong,Indonesia,DTB,2.25973,98.991898
9875,Lasikin Airport,Sinabang,Indonesia,\N,2.4102799892425537,96.32559967041016
9886,Seunagan Airport,Nagan Raya,Indonesia,MEQ,4.25,96.21700286865234
9887,Betoambari Airport,Bau-Bau,Indonesia,BUW,-5.486879825592041,122.56900024414062
9888,Kao Airport,Kao,Indonesia,KAZ,1.1852799654006958,127.89600372314452
9889,Melangguane Airport,Melonguane,Indonesia,MNA,4.00694,126.672997
9890,Sanggata/Sangkimah Airport,Sanggata,Indonesia,SGQ,0.3847,117.543
9891,Muara Bungo Airport,Muara Bungo,Indonesia,BUU,-1.1278,102.135
9892,Selayar/Aroepala Airport,Selayar,Indonesia,\N,-6.1751,120.4362
9897,Illaga Airport,Illaga,Indonesia,ILA,-3.97648,137.6225
9898,Oksibil Airport,Oksibil,Indonesia,OKL,-4.9071,140.6277
9899,Kokonau Airport,Kokonau,Indonesia,KOX,-4.71075,136.43515
9935,Kualanamu International Airport,Medan,Indonesia,KNO,3.642222,98.885278
10158,Blimbingsari Airport,Banyuwangi,Indonesia,BWX,-8.31015,114.3401
11258,Saumlaki/Olilit Airport,Saumlaki,Indonesia,SXK,-7.9886097908,131.305999756
11288,Dewadaru - Kemujan Island,Karimunjawa,Indonesia,KWB,-5.80091,110.47838
11291,Attopeu Airport,Attopeu,Laos,AOU,14.814715357,106.821699142
11401,Sultan Bantilan Airport,Toli-Toli,Indonesia,TLI,1.123428,120.793658
11700,Siquijor Airport,Siquijor,Philippines,\N,9.21420322319,123.472251892
11926,Allah Valley Airport,Surallah,Philippines,AAV,6.366819858551025,124.7509994506836
11927,Bislig Airport,,Philippines,BPH,8.19594955444336,126.3219985961914
11928,Mati National Airport,,Philippines,MXI,6.949091,126.27368
12004,Changi Air Base (East),Singapore,Singapore,\N,1.3441400528,104.009002686
13097,Cascade Heliport,Kobok,Indonesia,\N,47.512346,-120.488691
13243,Bajawa Soa Airport,Bajawa,Indonesia,BJW,-8.70743498008,121.057426929
13266,Boun Neau Airport,Phongsaly,Laos,PCQ,21.6475,101.9
13520,Trunojoyo Airport,Sumenep,Indonesia,SUP,-7.0242,113.89023
13521,Lasondre Airport,Batu Islands,Indonesia,\N,-0.01924,98.30097
13525,Rokot Airport,Sipora,Indonesia,RKO,-2.0991199016571045,99.70069885253906
13529,Pasir Pangaraan Airport,Pasir Pangaraian,Indonesia,PPR,0.8454310297966003,100.37000274658205
13530,Sei Bati Airport,Tanjung Balai Karimun,Indonesia,TJB,1.0527,103.3931
13532,Departi Parbo Airport,Kerinci Regency,Indonesia,KRC,-2.093,101.4683
13535,Namrole Airport,Buru Island,Indonesia,NRE,-3.8548,126.7012
13538,Namlea Airport,Namlea,Indonesia,NAM,-3.235569953918457,127.0999984741211
13540,Rar Gwamar Airport,Dobo,Indonesia,DOB,-5.77222013474,134.212005615
13543,Emalamo Sanana Airport,Sanana,Indonesia,SQN,-2.080509901046753,125.96700286865234
13544,Ayawasi Airport,Ayawasi,Indonesia,AYW,-1.1593,132.4633
13545,Bunyu Airport,Bunyu,Indonesia,BYQ,3.45571994781,117.866996765
13546,Buol Airport,Buol,Indonesia,UOL,1.1027,121.4141
13548,Sugimanuru Airport,Raha,Indonesia,RAQ,-4.760557,122.569371
13566,Sayaboury Airport,Sainyabuli,Laos,ZBY,19.2436,101.7093
13580,Palanan Community Airport,Palanan,Philippines,\N,17.065667,122.427671
13581,Itbayat Airport,Itbayat,Philippines,\N,20.722521,121.809969
13583,Catbalogan Airport,Catbalogan City,Philippines,\N,11.81,124.83
13584,Maasin Airport,Maasin,Philippines,\N,10.187299728393556,124.78199768066406
13592,Bantayan Airport,Bantayan,Philippines,\N,11.1624,123.7848
13593,Biliran Airport,Biliran,Philippines,\N,11.5159178299,124.428985119
13622,Nop Goliat Airport,Dekai,Indonesia,DEX,-4.8557,139.482006
13632,Tanah Merah Airport,Boven Digoel,Indonesia,TMH,-6.099219799041748,140.29800415039062
14097,Bilogai-Sugapa Airport,Sugapa-Papua Island,Indonesia,UGU,-3.73956,137.031998
14102,Laguindingan Airport,Cagayan de Oro City,Philippines,CGY,8.612203,124.456496
