geonameid,name,asciiname,alternatenames,latitude,longtitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
1636930,Madiun,Madiun,"Kota Madiun,Madioen,Madiun",-7.6298,111.5239,P,PPL,ID,,08,3577,,,202544,,69,Asia/Jakarta,2024-05-23
1637001,Luwuk,Luwuk,"LUW,Loewoek,Luwuk",-0.9516,122.7875,P,PPLA2,ID,,21,7202,,,47778,,17,Asia/Makassar,2016-02-27
1637090,Lumajang,Lumajang,"Kabupaten Lumajang,Loemadjang,Lumadjang,Lumajang",-8.1335,113.2248,P,PPLA2,ID,,08,3508,,,123626,,56,Asia/Jakarta,2022-12-31
1637158,Lubuklinggau,Lubuklinggau,"Kota Lubuklinggau,LLJ,Loeboeklinggau,Lubuklinggao,Lubuklinggau",-3.2945,102.8614,P,PPLA2,ID,,32,1674,,,234166,,140,Asia/Jakarta,2022-01-30
1637510,Loa Janan,Loa Janan,"Loa Djanan,Loa Janan",-0.58295,117.09503,P,PPL,ID,,14,6403,,,212816,,9,Asia/Makassar,2022-12-30
1637833,Lewoleba,Lewoleba,"LWE,Lewoleba",-8.3723,123.418,P,PPLA2,ID,,18,5308,,,30151,,19,Asia/Makassar,2025-05-25
1638063,Lembang,Lembang,"Lembang,Lembang 1,Lembange,Лембанге",-6.81167,107.6175,P,PPL,ID,,30,3217,,,183130,,1252,Asia/Jakarta,2022-12-31
1638217,Lebaksiu,Lebaksiu,"Lebaksioe,Lebaksiu",-7.0496,109.1441,P,PPL,ID,,07,3328,,,33606,,149,Asia/Jakarta,2022-12-31
1638284,Lawang,Lawang,Lawang,-7.8353,112.6947,P,PPL,ID,,08,3507,,,112540,,509,Asia/Jakarta,2024-05-23
1638352,Lasem,Lasem,"Binangun,Lasem",-6.6922,111.4527,P,PPLA3,ID,,07,3317,,,28948,,12,Asia/Jakarta,2022-12-31
1638562,Lamongan,Lamongan,,-7.11667,112.41667,P,PPLA3,ID,,08,3524,,,59224,,8,Asia/Jakarta,2022-12-31
1638775,Lahat,Lahat,"Lahat,PXA",-3.78514,103.54279,P,PPLA2,ID,,32,1604,,,65906,,115,Asia/Jakarta,2023-02-08
1638868,Labuan Bajo,Labuan Bajo,"Badjo,LBJ,Laboean Bajo,Laboehanbadjo,Labuan Bajo,Labuanbadzho,Labuanbajo,Labuhanbadjo,Labuhanbajo,Лабуанбаджо",-8.4964,119.8877,P,PPLA2,ID,,18,5315,,,188724,,63,Asia/Makassar,2022-12-31
1638870,Labuan,Labuan,"Laboean,Laboehan,Labuan,Labuhan",-6.3784,105.83,P,PPLA3,ID,,33,3601,,,33576,,12,Asia/Jakarta,2022-12-31
1638981,Kutoarjo,Kutoarjo,"Koeta'ardja,Koeta’ardja,Koetoardjo,Kutoardjo,Kutoarjo",-7.71694,109.91278,P,PPL,ID,,07,3306,,,31352,,20,Asia/Jakarta,2022-12-31
1639002,Kuta,Kuta,"Koeta,Kuta,ku ta,kuta,Кута,कूटा,クタ,庫塔",-8.72332,115.17234,P,PPL,ID,,02,5103,,,30012,,8,Asia/Makassar,2019-03-26
1639094,Kuningan,Kuningan,"Koeningan,Kuningan",-6.97583,108.48306,P,PPLA2,ID,,30,3208,,,111742,,537,Asia/Jakarta,2023-02-09
1639215,Kudus,Kudus,"Koedoes,Kudus",-6.8048,110.8405,P,PPLA2,ID,,07,3319,,,92156,,27,Asia/Jakarta,2023-02-08
1639286,Kuala Tungkal,Kuala Tungkal,"Koealatoengkal,Kuala Tungkal,Kualatungkal",-0.81623,103.46111,P,PPLA2,ID,,05,1507,,,33683,,6,Asia/Jakarta,2022-12-30
